time_s,h_plus,h_cross,amplitude,frequency_Hz
5.1801036021e-03,-1.9137021264e-22,-2.8803441537e-22,3.4581264107e-22,30.494613
5.2001040021e-03,-1.9027320784e-22,-2.8877808154e-22,3.4582752059e-22,30.496582
5.2201044021e-03,-1.8917324373e-22,-2.8951761914e-22,3.4584240332e-22,30.498550
5.2401048021e-03,-1.8807033564e-22,-2.9025301614e-22,3.4585728925e-22,30.500519
5.2601052021e-03,-1.8696449893e-22,-2.9098426060e-22,3.4587217838e-22,30.502489
5.2801056021e-03,-1.8585574903e-22,-2.9171134062e-22,3.4588707072e-22,30.504459
5.3001060021e-03,-1.8474410139e-22,-2.9243424435e-22,3.4590196627e-22,30.506430
5.3201064021e-03,-1.8362957155e-22,-2.9315296000e-22,3.4591686502e-22,30.508401
5.3401068021e-03,-1.8251217506e-22,-2.9386747585e-22,3.4593176698e-22,30.510372
5.3601072021e-03,-1.8139192753e-22,-2.9457778023e-22,3.4594667216e-22,30.512344
5.3801076022e-03,-1.8026884463e-22,-2.9528386151e-22,3.4596158054e-22,30.514316
5.4001080022e-03,-1.7914294207e-22,-2.9598570814e-22,3.4597649214e-22,30.516289
5.4201084022e-03,-1.7801423560e-22,-2.9668330861e-22,3.4599140695e-22,30.518263
5.4401088022e-03,-1.7688274104e-22,-2.9737665149e-22,3.4600632498e-22,30.520236
5.4601092022e-03,-1.7574847422e-22,-2.9806572538e-22,3.4602124623e-22,30.522211
5.4801096022e-03,-1.7461145106e-22,-2.9875051897e-22,3.4603617069e-22,30.524185
5.5001100022e-03,-1.7347168750e-22,-2.9943102097e-22,3.4605109837e-22,30.526161
5.5201104022e-03,-1.7232919953e-22,-3.0010722018e-22,3.4606602927e-22,30.528136
5.5401108022e-03,-1.7118400319e-22,-3.0077910545e-22,3.4608096339e-22,30.530112
5.5601112022e-03,-1.7003611457e-22,-3.0144666568e-22,3.4609590074e-22,30.532089
5.5801116022e-03,-1.6888554981e-22,-3.0210988984e-22,3.4611084131e-22,30.534066
5.6001120022e-03,-1.6773232508e-22,-3.0276876695e-22,3.4612578511e-22,30.536044
5.6201124022e-03,-1.6657645660e-22,-3.0342328610e-22,3.4614073213e-22,30.538022
5.6401128023e-03,-1.6541796065e-22,-3.0407343642e-22,3.4615568238e-22,30.540000
5.6601132023e-03,-1.6425685353e-22,-3.0471920714e-22,3.4617063586e-22,30.541979
5.6801136023e-03,-1.6309315162e-22,-3.0536058749e-22,3.4618559257e-22,30.543958
5.7001140023e-03,-1.6192687132e-22,-3.0599756682e-22,3.4620055251e-22,30.545938
5.7201144023e-03,-1.6075802908e-22,-3.0663013451e-22,3.4621551568e-22,30.547919
5.7401148023e-03,-1.5958664138e-22,-3.0725827999e-22,3.4623048209e-22,30.549900
5.7601152023e-03,-1.5841272478e-22,-3.0788199278e-22,3.4624545174e-22,30.551881
5.7801156023e-03,-1.5723629584e-22,-3.0850126244e-22,3.4626042462e-22,30.553863
5.8001160023e-03,-1.5605737121e-22,-3.0911607860e-22,3.4627540074e-22,30.555845
5.8201164023e-03,-1.5487596754e-22,-3.0972643094e-22,3.4629038009e-22,30.557828
5.8401168023e-03,-1.5369210156e-22,-3.1033230922e-22,3.4630536269e-22,30.559811
